t,a_abs (m/s2),a1_measured (m/s2)
78.83,,0.00010860894
78.84,,0.00016061329
78.84,,0.00021938737
78.84,,0.00028494118
78.85,,0.00035689667
78.85,,0.0004344738
78.85,,0.0005165012
78.86,,0.0006014520500000001
78.86,,0.00068750434
78.86,,0.00077262246
78.87,,0.0008546557000000001
78.87,,0.0009314475499999999
78.87,,0.0010009487
78.88,,0.0010613266
78.88,,0.0011110631
78.88,,0.0011490346
78.89,,0.001174568
78.89,,0.0011874685999999999
78.89,,0.0011880188
78.9,,0.0011769455
78.9,,0.0011553618
78.9,,0.0011246837
78.91,,0.0010865311
78.91,,0.0010426183
78.91,,0.00099464282
78.92,,0.0009441805500000001
78.92,,0.00089259508
78.92,,0.0008409668900000001
78.93,,0.00079004775
78.93,,0.00074024288
78.93,,0.00069162141
78.94,,0.0006439536
78.94,,0.0005967709200000001
78.94,,0.00054944373
78.95,,0.00050126974
78.95,,0.00045156577000000003
78.95,,0.0003997553
78.96,,0.00034544473
78.96,,0.00028848235
78.96,,0.00022899551
78.97,,0.00016740353999999998
78.97,,0.00010440569000000001
78.97,,4.0945822000000004e-05
78.98,,-2.1842953999999998e-05
78.98,,-8.2708461e-05
78.98,,-0.00014035851
78.99,,-0.00019354198999999998
78.99,,-0.00024112534000000002
78.99,,-0.00028215807
79.0,,-0.00031592234
79.0,,-0.00034196294
79.0,,-0.00036009579
79.01,,-0.00037039497
79.01,,-0.00037316039000000005
79.01,,-0.00036886958
79.02,,-0.00035811859
79.02,,-0.00034155787000000003
79.02,,-0.00031982935
79.03,,-0.00029351065
79.03,,-0.00026307166
79.03,,-0.00022884754
79.04,,-0.00019103061000000002
79.04,,-0.00014968165
79.04,,-0.00010475951000000001
79.05,,-5.6165966e-05
79.05,,-3.8014446e-06
79.05,,5.2373953e-05
79.06,,0.00011228023
79.06,,0.00017566416000000003
79.06,,0.00024205846
79.07,,0.0003107579
79.07,,0.0003808154
79.07,,0.00045105931000000003
79.08,,0.00052013112
79.08,,0.00058654108
79.08,,0.00064873733
79.09,,0.00070518315
79.09,,0.0007544356700000001
79.09,,0.00079521964
79.1,,0.00082648992
79.1,,0.00084747722
79.1,,0.00085771336
79.11,,0.00085703389
79.11,,0.0008455579000000001
79.11,,0.00082364719
79.12,,0.0007918484200000001
79.12,,0.0007508239899999999
79.12,,0.00070127777
79.13,,0.00064388311
79.13,,0.00057921962
79.13,,0.00050772502
79.14,,0.00042966675000000003
79.14,,0.0003451362
79.14,,0.00025406645
79.15,,0.00015627215
79.15,,5.1507982e-05
79.15,,-6.045938100000001e-05
79.16,,-0.0001797726
79.16,,-0.00030640549
79.16,,-0.00044009282
79.17,,-0.00058027471
79.17,,-0.0007260614100000001
79.17,,-0.00087622188
79.18,,-0.001029198
79.18,,-0.0011831437
79.18,,-0.0013359856
79.19,,-0.0014855011000000002
79.19,,-0.0016294068000000002
79.19,,-0.0017654494000000002
79.2,,-0.0018914928
79.2,,-0.002005593
79.2,,-0.0021060555
79.21,,-0.0021914709
79.21,,-0.0022607269
79.21,,-0.0023129962
79.22,,-0.0023477044
79.22,,-0.0023644818
79.22,,-0.0023631061000000003
79.23,,-0.0023434425
79.23,,-0.0023053906
79.23,,-0.0022488441000000003
79.24,,-0.0021736689
79.24,,-0.0020797054
79.24,,-0.0019667945
79.25,,-0.0018348282
79.25,,-0.0016838195
79.25,,-0.001513987
79.26,,-0.0013258451
79.26,,-0.0011202918
79.26,,-0.00089868287
79.27,,-0.00066288559
79.27,,-0.00041530164
79.27,,-0.00015885553
79.28,,0.00010305548
79.28,,0.00036664958
79.28,,0.00062788341
79.29,,0.0008826034500000001
79.29,,0.0011267169000000001
79.29,,0.0013563708
79.3,,0.0015681274
79.3,,0.001759123
79.3,,0.0019271993000000002
79.31,,0.0020709962000000004
79.31,,0.0021899994
79.31,,0.0022845387000000003
79.32,,0.0023557347
79.32,,0.0024053987
79.32,,0.0024358901
79.33,,0.0024499423
79.33,,0.0024504669
79.33,,0.0024403517
79.34,,0.0024222638
79.34,,0.0023984724
79.34,,0.0023707039
79.35,,0.0023400375000000003
79.35,,0.0023068493000000002
79.35,,0.0022708085
79.36,,0.0022309256
79.36,,0.0021856482999999998
