Tiempo [s],u [m],v [m/s],a [m/s²]
52.14,4.2050744049475404e-07,-2.7828933082187703e-06,-5.6409102496805485e-05
52.14,4.108264469959356e-07,-2.9513050757826164e-06,-3.286677402893948e-05
52.15,4.0077910311919373e-07,-3.041591556750515e-06,-9.743433867793888e-06
52.15,3.9062220458960824e-07,-3.055188492264415e-06,1.2913982180406376e-05
52.15,3.8060741840332e-07,-2.9936736138843157e-06,3.507589306602881e-05
52.16,3.709808845879163e-07,-2.858729662731272e-06,5.670503048936727e-05
52.16,3.619827388189579e-07,-2.6521890009831504e-06,7.773365411651109e-05
52.16,3.5384631015921934e-07,-2.376150062365433e-06,9.804569915454909e-05
52.17,3.4679680078811164e-07,-2.0331476320896746e-06,0.00011746573830141997
52.17,3.410493283091752e-07,-1.6263532717718594e-06,0.00013575592192756024
52.17,3.368062973836333e-07,-1.159779071424022e-06,0.0001526211650438278
52.18,3.342541567295092e-07,-6.384577172750273e-07,0.0001677220073971739
52.18,3.3355968044118254e-07,-6.857447886216363e-08,0.0001806937300473601
52.18,3.348659799114945e-07,5.424679022327998e-07,0.00019116952364768992
52.19,3.382884977607245e-07,1.186063121350697e-06,0.0001988055408280744
52.19,3.439112542124724e-07,1.852497921801607e-06,0.00020330498152188012
52.19,3.517836064068615e-07,2.531126047140796e-06,0.00020443864644237853
52.2,3.619177448529373e-07,3.210606510784346e-06,0.0002020604574459159
52.2,3.742870931322496e-07,3.87918750494981e-06,0.00019611566362171342
52.2,3.888257019356223e-07,4.525011538963502e-06,0.00018664169825744384
52.21,4.054286469839882e-07,5.136417318559247e-06,0.00017376169713301972
52.21,4.239533602236722e-07,5.702214326735203e-06,0.0001576711855153253
52.21,4.4422175278388213e-07,6.211909258196292e-06,0.000138620241488057
52.22,4.6602293410827415e-07,6.6558700076471e-06,0.00011689207059744398
52.22,4.891163006988012e-07,7.025418698989457e-06,9.278213101735667e-05
52.22,5.132347636494619e-07,7.312855926585427e-06,6.657821254863775e-05
52.23,5.380879036390645e-07,7.511422392128825e-06,3.854507436604324e-05
