t,u (m),v (m/s),a (m/s2)
167.02,1.610859464694963e-08,-3.577007849191623e-07,-1.033617461779548e-05
167.02,1.4862402242640575e-08,-3.902523108380414e-07,-8.053299603430148e-06
167.03,1.3520841611765605e-08,-4.149519921282194e-07,-5.479712936358938e-06
167.03,1.211160752795791e-08,-4.308804496350433e-07,-2.6750064577692277e-06
167.03,1.0665107484589426e-08,-4.3732804351349245e-07,2.8790823360649585e-07
167.04,9.213692891079155e-09,-4.3383696514418933e-07,3.325568522345225e-06
167.04,7.790766583023476e-09,-4.2023343946542653e-07,6.347522052226828e-06
167.04,6.42980367851542e-09,-3.966475750804277e-07,9.260465565371817e-06
167.05,5.163329725576502e-09,-3.635191704501962e-07,1.1972681078824398e-05
167.05,4.021904115076597e-09,-3.2158874667731694e-07,1.4398455442188866e-05
167.05,3.0331574708460275e-09,-2.718740973037145e-07,1.646220124457189e-05
167.06,2.220929179766919e-09,-2.156335931162214e-07,1.8101988081271616e-05
167.06,1.604545615564804e-09,-1.5431837835110687e-07,1.927227907234891e-05
167.06,1.19827137932471e-09,-8.95162623299629e-08,1.994568678733444e-05
167.07,1.010955692491821e-09,-2.2890627651114392e-08,2.0113685603307622e-05
167.07,1.0458847147890937e-09,4.388214439651127e-08,1.9786253963360422e-05
167.07,1.3008389122052734e-09,1.0917323223008771e-07,1.899052817436713e-05
167.08,1.7683434687433235e-09,1.7145673105622764e-07,1.776859943885824e-05
167.08,2.4360899379285666e-09,2.2935710930140943e-07,1.6174641977760826e-05
167.08,3.2874994668777513e-09,2.8168673974757424e-07,1.4271618310713169e-05
167.09,4.302392499744632e-09,3.2747227737178543e-07,1.2127779462615662e-05
167.09,5.45772705188247e-09,3.659694180705344e-07,9.813221408282613e-06
167.09,6.728367465277507e-09,3.966664009354931e-07,7.396708002867059e-06
167.1,8.087847889625243e-09,4.1927729457864967e-07,4.942943052245647e-06
167.1,9.509099112655423e-09,4.33726661471389e-07,2.51040772062257e-06
167.1,1.096511329506743e-08,4.4012756718583207e-07,1.4986219199247592e-07
167.11,1.2429528095692915e-08,4.387551375075338e-07,-2.096501867573279e-06
167.11,1.387711893977353e-08,4.3001782089367044e-07,-4.195272281658814e-06
167.11,1.5284195159801635e-08,4.144283938003744e-07,-6.121492005269125e-06
167.12,1.6628901978742876e-08,3.925764148410025e-07,-7.857893602754861e-06
167.12,1.7891435367538218e-08,3.6510346581459866e-07,-9.393851570459076e-06
167.12,1.905418045583569e-08,3.326820251096362e-07,-1.0724166519294384e-05
